,reactions,comments,post_id
648,23000,267 bình luậ,1305487359629577
267,23000,267 bình luậ,1305487359629577
176,22000,1.768 bình luậ,1312321575612822
557,22000,1.768 bình luậ,1312321575612822
299,21000,238 bình luậ,1302950329883280
677,21000,238 bình luậ,1302950329883280
42,20000,525 bình luậ,1324375617740751
423,20000,525 bình luậ,1324375617740751
539,19000,554 bình luậ,1314344088743904
158,19000,554 bình luậ,1314344088743904
161,18000,483 bình luậ,1313858448792468
542,18000,483 bình luậ,1313858448792468
683,16000,276 bình luậ,1302802736564706
300,16000,276 bình luậ,1302802736564706
149,15000,279 bình luậ,1315395558638757
2,15000,711 bình luậ,1327728960738750
494,15000,817 bình luậ,1318213248356988
383,15000,718 bình luậ,1327728960738750
530,15000,279 bình luậ,1315395558638757
603,15000,363 bình luậ,1308383822673264
113,15000,817 bình luậ,1318213248356988
222,15000,363 bình luậ,1308383822673264
139,14000,295 bình luậ,1316855268492786
520,14000,295 bình luậ,1316855268492786
91,14000,319 bình luậ,1319624374882542
472,14000,319 bình luậ,1319624374882542
274,13000,336 bình luậ,1304595033052143
69,13000,466 bình luậ,1322869474558032
601,13000,309 bình luậ,1308825049295808
399,13000,427 bình luậ,1325503820961264
450,13000,466 bình luậ,1322869474558032
658,13000,336 bình luậ,1304595033052143
220,13000,309 bình luậ,1308825049295808
18,13000,427 bình luậ,1325503820961264
425,13000,458 bình luậ,1323954104449569
44,13000,458 bình luậ,1323954104449569
581,12000,198 bình luậ,1310513545793625
385,12000,338 bình luậ,1327168204128159
4,12000,337 bình luậ,1327168204128159
503,12000,341 bình luậ,1318059258372387
122,12000,341 bình luậ,1318059258372387
518,12000,783 bình luậ,1317201615124818
137,12000,783 bình luậ,1317201615124818
200,12000,198 bình luậ,1310513545793625
410,11000,358 bình luậ,1325195674325412
249,11000,574 bình luậ,1306664692845177
529,11000,266 bình luậ,1315418088636504
29,11000,358 bình luậ,1325195674325412
148,11000,266 bình luậ,1315418088636504
626,11000,153 bình luậ,1307241652787481
55,11000,486 bình luậ,1323163427861970
630,11000,574 bình luậ,1306664692845177
436,11000,486 bình luậ,1323163427861970
245,11000,153 bình luậ,1307241652787481
284,10000,155 bình luậ,1303271173184529
76,10000,531 bình luậ,1320740241437622
642,10000,398 bình luậ,1306326196212360
665,10000,155 bình luậ,1303271173184529
437,10000,566 bình luậ,1323126834532296
168,10000,299 bình luậ,1313052588873054
12,10000,250 bình luậ,1326044760907170
261,10000,398 bình luậ,1306326196212360
457,10000,531 bình luậ,1320740241437622
262,10000,949 bình luậ,1306283809549932
579,10000,392 bình luậ,1310691025775877
198,10000,392 bình luậ,1310691025775877
56,10000,566 bình luậ,1323126834532296
156,10000,290 bình luậ,1314485565396423
549,10000,299 bình luậ,1313052588873054
537,10000,290 bình luậ,1314485565396423
643,10000,949 bình luậ,1306283809549932
393,10000,250 bình luậ,1326044760907170
38,9800,569 bình luậ,1324500697728243
419,9800,569 bình luậ,1324500697728243
645,9500,175 bình luậ,1305799702931676
196,9500,143 bình luậ,1310796265765353
577,9500,143 bình luậ,1310796265765353
264,9500,175 bình luậ,1305799702931676
446,9400,370 bình luậ,1322946101217036
65,9400,370 bình luậ,1322946101217036
541,9200,195 bình luậ,1314220248756288
160,9200,195 bình luậ,1314220248756288
302,8800,296 bình luậ,341067713495332
394,8800,296 bình luậ,341067713495332
13,8800,296 bình luậ,341067713495332
657,8700,223 bình luậ,1304665723045074
273,8700,223 bình luậ,1304665723045074
615,8600,153 bình luậ,1307510782760568
234,8600,153 bình luậ,1307510782760568
661,8400,98 bình luậ,1303666276478352
280,8400,98 bình luậ,1303666276478352
265,8300,309 bình luậ,1305727342938912
51,8300,286 bình luậ,1323790897799223
646,8300,309 bình luậ,1305727342938912
432,8300,286 bình luậ,1323790897799223
560,8300,131 bình luậ,1312227065622273
179,8300,131 bình luậ,1312227065622273
652,7900,242 bình luậ,1304741199704193
271,7900,242 bình luậ,1304741199704193
454,7900,175 bình luậ,1322481444596835
73,7900,175 bình luậ,1322481444596835
505,7800,549 bình luậ,1317542168424096
124,7800,549 bình luậ,1317542168424096
462,7700,495 bình luậ,1319914621520184
81,7700,495 bình luậ,1319914621520184
525,7700,304 bình luậ,1316024911909155
144,7700,304 bình luậ,1316024911909155
673,7600,255 bình luậ,1303054583206188
293,7600,255 bình luậ,1303054583206188
255,7500,429 bình luậ,1306577636187216
636,7500,429 bình luậ,1306577636187216
60,7400,213 bình luậ,1323038854541094
246,7400,132 bình luậ,1307200892791557
627,7400,132 bình luậ,1307200892791557
441,7400,213 bình luậ,1323038854541094
651,7300,196 bình luậ,1304769923034654
667,7300,350 bình luậ,1303244919853821
270,7300,196 bình luậ,1304769923034654
221,7300,99 bình luậ,1308772035967776
286,7300,350 bình luậ,1303244919853821
602,7300,99 bình luậ,1308772035967776
157,7100,161 bình luậ,1314405762071070
538,7100,161 bình luậ,1314405762071070
62,6900,177 bình luậ,1322985941213052
443,6900,177 bình luậ,1322985941213052
449,6800,171 bình luậ,1322911661220480
68,6800,171 bình luậ,1322911661220480
207,6700,83 bình luậ,1309549835889996
588,6700,83 bình luậ,1309549835889996
70,6600,131 bình luậ,1322535251258121
451,6600,131 bình luậ,1322535251258121
287,6500,144 bình luậ,1303237346521245
668,6500,144 bình luậ,1303237346521245
206,6400,109 bình luậ,1309910835853896
587,6400,109 bình luậ,1309910835853896
637,6300,124 bình luậ,1306514926193487
256,6300,124 bình luậ,1306514926193487
395,6200,178 bình luậ,1325648004280179
14,6200,178 bình luậ,1325648004280179
237,6100,208 bình luậ,1307429842768662
19,6100,360 bình luậ,1325486260963020
400,6100,360 bình luậ,1325486260963020
117,6100,199 bình luậ,1318149351696711
618,6100,208 bình luậ,1307429842768662
498,6100,199 bình luậ,1318149351696711
154,6000,185 bình luậ,1314635195381460
535,6000,185 bình luậ,1314635195381460
263,5900,130 bình luậ,1306014492910197
644,5900,130 bình luậ,1306014492910197
197,5900,120 bình luậ,1310740439104269
578,5900,120 bình luậ,1310740439104269
228,5900,149 bình luậ,1308152719363041
609,5900,149 bình luậ,1308152719363041
225,5800,205 bình luậ,1308193009359012
452,5800,97 bình luậ,1322526657925647
212,5800,200 bình luậ,1309106189267694
71,5800,97 bình luậ,1322526657925647
607,5800,205 bình luậ,1308193009359012
593,5800,200 bình luậ,1309106189267694
424,5700,164 bình luậ,1324012684443711
43,5700,164 bình luậ,1324012684443711
362,5600,251 bình luậ,572525693216480
72,5600,309 bình luậ,1322496791261967
295,5600,116 bình luậ,1303018366543143
676,5600,116 bình luậ,1303018366543143
453,5600,309 bình luậ,1322496791261967
580,5600,105 bình luậ,1310661362445510
199,5600,105 bình luậ,1310661362445510
92,5500,93 bình luậ,1319435371568109
473,5500,93 bình luậ,1319435371568109
585,5500,92 bình luậ,1309922845852695
107,5500,252 bình luậ,1318345571677089
204,5500,92 bình luậ,1309922845852695
488,5500,252 bình luậ,1318345571677089
447,5300,244 bình luậ,1322937161217930
66,5300,244 bình luậ,1322937161217930
30,5200,123 bình luậ,1324727054372274
590,5200,102 bình luậ,1309180075926972
209,5200,102 bình luậ,1309180075926972
411,5200,123 bình luậ,1324727054372274
506,5200,206 bình luậ,1317513995093580
125,5200,206 bình luậ,1317513995093580
420,5100,78 bình luậ,1324388927739420
214,5100,207 bình luậ,1309037042607942
438,5100,389 bình luậ,1323119427866370
240,5100,101 bình luậ,1307338309444482
188,5100,77 bình luậ,1277545952423718
621,5100,101 bình luậ,1307338309444482
39,5100,78 bình luậ,1324388927739420
382,5100,207 bình luậ,1327841027394210
57,5100,389 bình luậ,1323119427866370
569,5100,77 bình luậ,1277545952423718
595,5100,207 bình luậ,1309037042607942
238,5000,185 bình luậ,1307396002772046
582,5000,215 bình luậ,1310487059129607
1,5000,206 bình luậ,1327841027394210
619,5000,185 bình luậ,1307396002772046
201,5000,215 bình luậ,1310487059129607
211,4900,173 bình luậ,1309117825933197
41,4900,134 bình luậ,1324380174406962
598,4900,167 bình luậ,1308963885948591
218,4900,167 bình luậ,1308963885948591
155,4900,152 bình luậ,1314551518723161
282,4900,89 bình luậ,1303340109844302
430,4900,108 bình luậ,1323802391131407
545,4900,239 bình luậ,1313675405477439
50,4900,108 bình luậ,1323802391131407
592,4900,173 bình luậ,1309117825933197
536,4900,152 bình luậ,1314551518723161
422,4900,134 bình luậ,1324380174406962
663,4900,89 bình luậ,1303340109844302
164,4900,239 bình luậ,1313675405477439
570,4800,67 bình luậ,1311896872321959
189,4800,67 bình luậ,1311896872321959
401,4800,105 bình luậ,1325473337630979
20,4800,105 bình luậ,1325473337630979
224,4700,163 bình luậ,1308226366022343
241,4700,156 bình luậ,1307316036113376
605,4700,163 bình luậ,1308226366022343
458,4700,152 bình luậ,1320505391461107
622,4700,156 bình luậ,1307316036113376
77,4700,152 bình luậ,1320505391461107
202,4700,160 bình luậ,1310446779133635
583,4700,160 bình luậ,1310446779133635
182,4600,217 bình luậ,1311978165647163
236,4600,117 bình luậ,1307451046099875
102,4600,191 bình luậ,1318984891613157
616,4600,117 bình luậ,1307451046099875
483,4600,191 bình luậ,1318984891613157
563,4600,217 bình luậ,1311978165647163
259,4600,164 bình luậ,1306463162865330
640,4600,164 bình luậ,1306463162865330
550,4500,272 bình luậ,1312798975565082
555,4500,146 bình luậ,1312682472243399
269,4500,146 bình luậ,1305026499675663
650,4500,146 bình luậ,1305026499675663
169,4500,272 bình luậ,1312798975565082
174,4500,146 bình luậ,1312682472243399
664,4400,100 bình luậ,1303302469848066
288,4400,181 bình luậ,1303193716525608
163,4400,297 bình luậ,1313683138809999
544,4400,297 bình luậ,1313683138809999
669,4400,181 bình luậ,1303193716525608
283,4400,100 bình luậ,1303302469848066
561,4300,74 bình luậ,1312094515635528
633,4300,160 bình luậ,1306633796181600
180,4300,74 bình luậ,1312094515635528
115,4300,172 bình luậ,1318178988360414
252,4300,160 bình luậ,1306633796181600
496,4300,172 bình luậ,1318178988360414
531,4200,111 bình luậ,1315209495324030
195,4200,54 bình luậ,1311201895724790
620,4200,135 bình luậ,1307376272774019
150,4200,111 bình luậ,1315209495324030
576,4200,54 bình luậ,1311201895724790
239,4200,135 bình luậ,1307376272774019
519,4100,88 bình luậ,1317098558468457
480,4100,216 bình luậ,1319013254943654
184,4100,162 bình luậ,1311948572316789
138,4100,88 bình luậ,1317098558468457
623,4100,125 bình luậ,1307289732782673
243,4100,125 bình luậ,1307289732782673
100,4100,216 bình luậ,1319013254943654
565,4100,162 bình luậ,1311948572316789
111,4000,204 bình luậ,1318280701683576
99,4000,208 bình luậ,1319020404942939
397,4000,142 bình luậ,1325564537621859
95,4000,177 bình luậ,1319206534924326
16,4000,142 bình luậ,1325564537621859
86,4000,109 bình luậ,1319801784864801
48,4000,81 bình luậ,1323865867791726
492,4000,204 bình luậ,1318280701683576
429,4000,81 bình luậ,1323865867791726
213,4000,137 bình luậ,1309072295937750
467,4000,109 bình luậ,1319801784864801
594,4000,137 bình luậ,1309072295937750
476,4000,177 bình luậ,1319206534924326
479,4000,208 bình luậ,1319020404942939
403,3900,115 bình luậ,1325440397634273
192,3900,86 bình luậ,1311847452326901
22,3900,115 bình luậ,1325440397634273
178,3900,129 bình luậ,1312255832286063
83,3900,157 bình luậ,1319851394859840
186,3900,79 bình luậ,1311919402319706
193,3900,61 bình luậ,1311411859037127
231,3900,58 bình luậ,1307944936050486
464,3900,157 bình luậ,1319851394859840
559,3900,129 bình luậ,1312255832286063
574,3900,61 bình luậ,1311411859037127
612,3900,58 bình luậ,1307944936050486
573,3900,86 bình luậ,1311847452326901
567,3900,79 bình luậ,1311919402319706
389,3800,108 bình luậ,1326461330865513
7,3800,107 bình luậ,1326461330865513
398,3700,219 bình luậ,1325513340960312
17,3700,219 bình luậ,1325513340960312
153,3600,85 bình luậ,1314663275378652
660,3600,244 bình luậ,1303825836462396
279,3600,244 bình luậ,1303825836462396
181,3600,122 bình luậ,1312046562306990
82,3600,161 bình luậ,1319883828189930
463,3600,161 bình luậ,1319883828189930
562,3600,122 bình luậ,1312046562306990
611,3600,82 bình luậ,1308097296035250
230,3600,82 bình luậ,1308097296035250
534,3600,85 bình luậ,1314663275378652
322,3500,275 bình luậ,365001947534469
670,3500,117 bình luậ,1303142953197351
93,3500,129 bình luậ,1319297004915279
439,3500,122 bình luậ,1323089601202686
474,3500,129 bình luậ,1319297004915279
58,3500,122 bình luậ,1323089601202686
289,3500,117 bình luậ,1303142953197351
15,3500,113 bình luậ,1325615810950065
396,3500,113 bình luậ,1325615810950065
106,3400,129 bình luậ,1318398805005099
487,3400,129 bình luậ,1318398805005099
638,3400,74 bình luậ,1306492862862360
416,3400,117 bình luậ,1324594037718909
459,3400,157 bình luậ,1320458621465784
35,3400,117 bình luậ,1324594037718909
649,3400,202 bình luậ,1305445382967108
268,3400,202 bình luậ,1305445382967108
32,3400,142 bình luậ,1324683621043284
427,3400,130 bình luậ,1323919971119649
46,3400,130 bình luậ,1323919971119649
413,3400,143 bình luậ,1324683621043284
257,3400,74 bình luậ,1306492862862360
78,3400,157 bình luậ,1320458621465784
305,3400,157 bình luậ,1320458621465784
444,3300,84 bình luậ,1322970494547930
24,3300,104 bình luậ,1325422260969420
426,3300,76 bình luậ,1323923857785927
384,3300,152 bình luậ,1327627340748912
405,3300,104 bình luậ,1325422260969420
127,3300,111 bình luậ,1317478848430428
45,3300,76 bình luậ,1323923857785927
63,3300,84 bình luậ,1322970494547930
508,3300,111 bình luậ,1317478848430428
140,3200,159 bình luậ,1316848181826828
521,3200,159 bình luậ,1316848181826828
3,3200,150 bình luậ,1327627340748912
301,3100,190 bình luậ,1326286854216294
391,3100,190 bình luậ,1326286854216294
9,3100,188 bình luậ,1326286854216294
52,3000,276 bình luậ,1323783221133324
455,3000,201 bình luậ,1321987474646232
659,3000,161 bình luậ,1303850013126645
433,3000,276 bình luậ,1323783221133324
74,3000,201 bình luậ,1321987474646232
610,3000,88 bình luậ,1308126849365628
278,3000,161 bình luậ,1303850013126645
229,3000,88 bình luậ,1308126849365628
171,3000,72 bình luậ,1312749945569985
552,3000,72 bình luậ,1312749945569985
31,2900,83 bình luậ,1324692977709015
162,2900,88 bình luậ,1313750342136612
412,2900,83 bình luậ,1324692977709015
596,2900,59 bình luậ,1309029755942004
543,2900,88 bình luậ,1313750342136612
215,2900,59 bình luậ,1309029755942004
177,2800,400 bình luậ,1312383685606611
208,2800,36 bình luậ,1309199319258381
558,2800,400 bình luậ,1312383685606611
159,2800,151 bình luậ,1314100242101622
152,2800,101 bình luậ,1314699612041685
589,2800,36 bình luậ,1309199319258381
540,2800,151 bình luậ,1314100242101622
312,2800,101 bình luậ,1314699612041685
533,2800,101 bình luậ,1314699612041685
232,2800,132 bình luậ,1307900732721573
613,2800,132 bình luậ,1307900732721573
478,2700,78 bình luậ,1319104348267878
523,2700,261 bình luậ,1315970675247912
434,2700,102 bình luậ,1323763051135341
486,2700,105 bình luậ,1318903688287944
294,2700,87 bình luậ,1303039199874393
105,2700,105 bình luậ,1318903688287944
97,2700,78 bình luậ,1319104348267878
53,2700,102 bình luậ,1323763051135341
674,2700,87 bình luậ,1303039199874393
142,2700,261 bình luậ,1315970675247912
495,2600,124 bình luậ,1318201035024876
584,2600,56 bình luậ,1310414915803488
409,2600,95 bình luậ,1325356964309283
608,2600,83 bình luậ,1308172889361024
114,2600,124 bình luậ,1318201035024876
40,2600,34 bình luậ,1324380897740223
656,2600,76 bình luậ,1304707353040911
28,2600,95 bình luậ,1325356964309283
421,2600,34 bình luậ,1324380897740223
272,2600,76 bình luậ,1304707353040911
203,2600,56 bình luậ,1310414915803488
227,2600,83 bình luậ,1308172889361024
64,2500,73 bình luậ,1322954844549495
445,2500,74 bình luậ,1322954844549495
490,2400,66 bình luậ,1318310895013890
460,2400,87 bình luậ,1320457894799190
109,2400,66 bình luậ,1318310895013890
79,2400,87 bình luậ,1320457894799190
417,2300,46 bình luậ,1324580651053581
219,2300,27 bình luậ,1308889049289408
599,2300,27 bình luậ,1308889049289408
36,2300,46 bình luậ,1324580651053581
591,2200,66 bình luậ,1309142112597435
572,2200,53 bình luậ,1311878455657134
210,2200,66 bình luậ,1309142112597435
147,2200,80 bình luậ,1315788191932827
172,2200,72 bình luậ,1312731428905170
528,2200,80 bình luậ,1315788191932827
191,2200,53 bình luậ,1311878455657134
553,2200,72 bình luậ,1312731428905170
524,2100,,1316029568575356
666,2100,153 bình luậ,1303252529853060
80,2100,109 bình luậ,1320020231509623
166,2100,77 bình luậ,1313619005483079
285,2100,153 bình luậ,1303252529853060
34,2100,47 bình luậ,1324647237713589
143,2100,,1316029568575356
547,2100,77 bình luậ,1313619005483079
415,2100,47 bình luậ,1324647237713589
461,2100,109 bình luậ,1320020231509623
629,2000,146 bình luậ,1306695366175443
123,2000,141 bình luậ,1317276131784033
8,2000,194 bình luậ,1326379694207010
407,2000,41 bình luậ,1325389834305996
248,2000,146 bình luậ,1306695366175443
504,2000,141 bình luậ,1317276131784033
469,2000,50 bình luậ,1319752754869704
390,2000,194 bình luậ,1326379694207010
131,2000,56 bình luậ,1317417788436534
88,2000,50 bình luậ,1319752754869704
512,2000,56 bình luậ,1317417788436534
26,2000,41 bình luậ,1325389834305996
628,1900,58 bình luậ,1307165066128473
471,1900,92 bình luậ,1319654948212818
575,1900,40 bình luậ,1311254785719501
527,1900,83 bình luậ,1315964735248506
546,1900,61 bình luậ,1313659225479057
513,1900,37 bình luậ,1317393151772331
0,1900,121 bình luậ,1327937780717868
165,1900,61 bình luậ,1313659225479057
381,1900,124 bình luậ,1327937780717868
428,1900,56 bình luậ,1323898337788479
132,1900,37 bình luậ,1317393151772331
414,1900,59 bình luậ,1324676617710651
194,1900,40 bình luậ,1311254785719501
247,1900,58 bình luậ,1307165066128473
146,1900,83 bình luậ,1315964735248506
90,1900,92 bình luậ,1319654948212818
47,1900,56 bình luậ,1323898337788479
631,1800,117 bình luậ,1306656439512669
185,1800,79 bình luậ,1311939465651033
456,1800,242 bình luậ,1320833021428344
33,1800,59 bình luậ,1324676617710651
566,1800,79 bình luậ,1311939465651033
250,1800,117 bình luậ,1306656439512669
75,1800,242 bình luậ,1320833021428344
141,1700,79 bình luậ,1316574331854213
135,1700,113 bình luậ,1317282518450061
145,1700,57 bình luậ,1315981835246796
291,1700,30 bình luậ,1303112469867066
511,1700,85 bình luậ,1317424775102502
170,1700,65 bình luậ,1312781675566812
516,1700,113 bình luậ,1317282518450061
522,1700,79 bình luậ,1316574331854213
551,1700,65 bình luậ,1312781675566812
526,1700,57 bình luậ,1315981835246796
311,1700,57 bình luậ,1315981835246796
130,1700,85 bình luậ,1317424775102502
672,1700,30 bình luậ,1303112469867066
361,1700,105 bình luậ,317072352335256
470,1600,51 bình luậ,1319729871538659
96,1600,69 bình luậ,1319198744925105
151,1600,134 bình luậ,1314881068690206
468,1600,29 bình luậ,1319778728200440
120,1600,100 bình luậ,1317278885117091
501,1600,100 bình luậ,1317278885117091
477,1600,69 bình luậ,1319198744925105
89,1600,51 bình luậ,1319729871538659
87,1600,29 bình luậ,1319778728200440
532,1600,134 bình luậ,1314881068690206
94,1500,50 bình luậ,1319266238251689
175,1500,65 bình luậ,1312626392249007
732,1500,54 bình luậ,1067209813457334
418,1500,128 bình luậ,1324540781057568
556,1500,65 bình luậ,1312626392249007
475,1500,50 bình luậ,1319266238251689
37,1500,128 bình luậ,1324540781057568
465,1500,42 bình luậ,1319834818194831
571,1500,31 bình luậ,1311893938988919
190,1500,31 bình luậ,1311893938988919
84,1500,42 bình luậ,1319834818194831
126,1400,55 bình luậ,1317502398428073
217,1400,34 bình luậ,1309015562610090
507,1400,55 bình luậ,1317502398428073
597,1400,34 bình luậ,1309015562610090
408,1300,86 bình luậ,1325383824306597
484,1300,55 bình luậ,1318969861614660
604,1300,52 bình luậ,1308232532688393
372,1300,32 bình luậ,566538593818036
27,1300,86 bình luậ,1325383824306597
104,1300,55 bình luậ,1318969861614660
223,1300,52 bình luậ,1308232532688393
662,1200,58 bình luậ,1303614349816878
260,1200,25 bình luậ,1306386002873046
258,1200,18 bình luậ,1306475182864128
641,1200,25 bình luậ,1306386002873046
517,1200,44 bình luậ,1316577891853857
639,1200,18 bình luậ,1306475182864128
435,1200,44 bình luậ,1323629534482026
167,1200,38 bình luậ,1313603938817919
233,1200,52 bình luậ,1307606142751032
61,1200,66 bình luậ,1323014514543528
281,1200,58 bình luậ,1303614349816878
614,1200,52 bình luậ,1307606142751032
54,1200,44 bình luậ,1323629534482026
548,1200,38 bình luậ,1313603938817919
442,1200,66 bình luậ,1323014514543528
136,1200,44 bình luậ,1316577891853857
128,1100,66 bình luậ,1317473698430943
554,1100,55 bình luậ,1312712272240419
290,1100,25 bình luậ,1303120909866222
564,1100,32 bình luậ,1311964192315227
254,1100,27 bình luậ,1306595802852066
244,1100,36 bình luậ,1307278612783785
67,1100,64 bình luậ,1322931324551847
59,1100,66 bình luậ,1323069361204710
635,1100,27 bình luậ,1306595802852066
624,1100,36 bình luậ,1307278612783785
183,1100,32 bình luậ,1311964192315227
173,1100,55 bình luậ,1312712272240419
743,1100,19 bình luậ,1922704051147166
440,1100,66 bình luậ,1323069361204710
509,1100,66 bình luậ,1317473698430943
448,1100,64 bình luậ,1322931324551847
671,1100,25 bình luậ,1303120909866222
187,1000,12 bình luậ,1311917412319905
253,1000,35 bình luậ,1306629046182075
510,1000,30 bình luậ,1317459968432316
402,1000,67 bình luậ,1325452544299725
404,1000,73 bình luậ,1325427074302272
568,1000,12 bình luậ,1311917412319905
634,1000,35 bình luậ,1306629046182075
21,1000,67 bình luậ,1325452544299725
23,1000,73 bình luậ,1325427074302272
129,1000,30 bình luậ,1317459968432316
133,982,11 bình luậ,1317378838440429
514,982,11 bình luậ,1317378838440429
251,963,30 bình luậ,1306647629513550
632,963,30 bình luậ,1306647629513550
110,936,30 bình luậ,1318293308348982
491,936,30 bình luậ,1318293308348982
85,930,26 bình luậ,1319830488195264
466,930,26 bình luậ,1319830488195264
116,832,30 bình luậ,1318162778362035
497,832,30 bình luậ,1318162778362035
388,820,47 bình luậ,1326894344155545
6,818,47 bình luậ,1326894344155545
500,816,35 bình luậ,1318135575031422
119,816,35 bình luậ,1318135575031422
499,776,49 bình luậ,1318142448364068
118,776,49 bình luậ,1318142448364068
392,770,74 bình luậ,1326183417559971
11,767,74 bình luậ,1326183417559971
101,764,29 bình luậ,1318999211611725
482,764,29 bình luậ,1318999211611725
112,752,33 bình luậ,1318260698352243
493,752,33 bình luậ,1318260698352243
108,748,30 bình luậ,1318323321679314
489,748,30 bình luậ,1318323321679314
718,734,65 bình luậ,345613239513873
386,703,54 bình luậ,1327082177470095
5,699,54 bình luậ,1327082177470095
266,572,29 bình luậ,1305600959618217
647,572,29 bình luậ,1305600959618217
738,554,14 bình luậ,1062531410591841
134,516,19 bình luậ,1317277131783933
515,516,19 bình luậ,1317277131783933
502,275,12 bình luậ,1318090505035929
121,275,12 bình luậ,1318090505035929
675,0,,1302550153256631
747,0,,1029460140565635
748,0,,1018499934994989
654,0,,1304118336433146
746,0,,1030587230452926
692,0,,1121834761328172
691,0,,1122388371272811
684,0,,1144657842379197
682,0,,1145396962305285
690,0,,1123795321132116
678,0,,1157305084447806
679,0,,1156555294522785
745,0,,1031778767000439
680,0,,1155659817945666
681,0,,1146080972236884
653,0,,1304136289764684
689,0,,1126038337574481
688,0,,1126564187521896
687,0,,1127617927416522
686,0,,1129463600565288
685,0,,1130268087151506
744,0,,1038828982962084
724,0,,1082829538562028
693,0,,1120477794797202
722,0,,1083942418450740
714,0,,1098439107001071
715,0,,1096857353825913
716,0,,1089294581248857
717,0,,1087674554744193
737,0,,1048066995371616
736,0,,1049180951926887
719,0,,1086577558187226
720,0,,1085252884986360
721,0,,1084895491688766
735,0,,1055074968004152
711,0,,1106604869517828
734,0,,1056167641228218
733,0,,1057336697777979
723,0,,1083874251790890
731,0,,1061804580664524
730,0,,1063059947205654
729,0,,1064842443694071
728,0,,1066355320209450
727,0,,1068541693324146
726,0,,1073627206148928
712,0,,1105408112970837
710,0,,1110402972471351
655,0,,1303406133171033
702,0,,1115860498592265
694,0,,1119883588189956
695,0,,1119665494878432
696,0,,1119350241576624
697,0,,1118819734963008
725,0,,1082718038573178
698,0,,1118101345034847
699,0,,1117497808428534
700,0,,1116764445168537
701,0,,1116356328542682
703,0,,1115016285343353
709,0,,1110950669083248
704,0,,1114902632021385
705,0,,1114805932031055
706,0,,1114787455366236
742,0,,1040422672802715
707,0,,1112219902289658
708,0,,1111684729009842
741,0,,1040708389440810
740,0,,1046719952172987
739,0,,1047796148732034
713,0,,1105387909639524
375,0,,1192542637590717
625,0,,1306862629492050
310,0,,1306862629492050
314,0,,1304118336433146
315,0,,1303406133171033
316,0,,1302550153256631
317,0,,1301576066687373
318,0,,1301033313408315
319,0,,1284642028380777
320,0,,1284552391723074
321,0,,1274793772698936
323,0,,1273984079446572
324,0,,1273177132860600
325,0,,1271421566369490
326,0,,1270700133108300
327,0,,1269836106528036
328,0,,1268983913279922
329,0,,1268140213364292
330,0,,1267351766776470
331,0,,1264217350423245
332,0,,1263407157170931
333,0,,1262618760583104
334,0,,1260657294112584
335,0,,1249465925231721
313,0,,1304136289764684
309,0,,1307257399452573
617,0,,1307257399452573
308,0,,1307592786085701
10,0,,1325656474279332
25,0,,1324828984362081
49,0,,1323653217812991
98,0,,1318506024994377
103,0,,1318450328333280
205,0,,1309235552588091
216,0,,1308394182672228
226,0,,1307592786085701
235,0,,1307257399452573
242,0,,1306862629492050
275,0,,1304136289764684
276,0,,1304118336433146
277,0,,1303406133171033
292,0,,1302550153256631
296,0,,1325656474279332
297,0,,1324828984362081
298,0,,1323653217812991
303,0,,1318506024994377
304,0,,1318450328333280
306,0,,1309235552588091
307,0,,1308394182672228
336,0,,1248955491949431
337,0,,1248814705296843
338,0,,1247643862080594
339,0,,1245495655628748
366,0,,1210955502416097
367,0,,1209886699189644
368,0,,1209065525938428
369,0,,1208342082677439
370,0,,1207672659411048
371,0,,1194564167388564
373,0,,1193814107463570
374,0,,1193144807530500
376,0,,1191842464327401
377,0,,1189787464532901
378,0,,1188996824611965
379,0,,1188203208024660
380,0,,1187438728101108
387,0,,1325656474279332
406,0,,1324828984362081
431,0,,1323653217812991
481,0,,1318506024994377
485,0,,1318450328333280
586,0,,1309235552588091
600,0,,1308394182672228
606,0,,1307592786085701
365,0,,1211111195733861
364,0,,1212403248937989
363,0,,1212566085588372
349,0,,1228986383946342
340,0,,1243415289170118
341,0,,1242760939235553
342,0,,1237823183062662
343,0,,1234847410026906
344,0,,1234215423423438
345,0,,1233814903463490
346,0,,1233060573538923
347,0,,1232389576939356
348,0,,1231643863680594
350,0,,1228357740675873
360,0,,1214031348775179
351,0,,1227505927427721
352,0,,1226889940822653
353,0,,1224366277741686
354,0,,1223715127806801
355,0,,1223009391210708
356,0,,1222351194609861
357,0,,1219665448211769
358,0,,1219053298272984
359,0,,1214740412037606
749,0,,1017362398442076
